Name,External ID,Control ID,Statement ID,Control Question
AC-2(k) Account Management,ac-2_smt.k,ac-2,ac-2_smt.k,Establish and implement a process for changing shared or group account authenticators (if deployed) when individuals are removed from the group; and
AC-2(l) Account Management,ac-2_smt.l,ac-2,ac-2_smt.l,Align account management processes with personnel termination and transfer processes.
AC-2.1 Automated System Account Management,ac-2.1,ac-2.1,,Support the management of system accounts using [automated mechanisms].
AC-2.2 Automated Temporary and Emergency Account Management,ac-2.2,ac-2.2,,Automatically [remove | disable] temporary and emergency accounts after [time period].
AC-2.3(a) Disable Accounts,ac-2.3_smt.a,ac-2.3,ac-2.3_smt.a,Have expired;
AC-2.3(b) Disable Accounts,ac-2.3_smt.b,ac-2.3,ac-2.3_smt.b,Are no longer associated with a user or individual;
AC-2.3(c) Disable Accounts,ac-2.3_smt.c,ac-2.3,ac-2.3_smt.c,Are in violation of organizational policy; or
AC-2.3(d) Disable Accounts,ac-2.3_smt.d,ac-2.3,ac-2.3_smt.d,Have been inactive for [time period].
AC-2.4 Automated Audit Actions,ac-2.4,ac-2.4,,"Automatically audit account creation, modification, enabling, disabling, and removal actions."
AC-2.5 Inactivity Logout,ac-2.5,ac-2.5,,Require that users log out when [time period of expected inactivity or description of when to log out].
AC-2.7(a) Privileged User Accounts,ac-2.7_smt.a,ac-2.7,ac-2.7_smt.a,Establish and administer privileged user accounts in accordance with [a role-based access scheme | an attribute-based access scheme];
AC-2.7(b) Privileged User Accounts,ac-2.7_smt.b,ac-2.7,ac-2.7_smt.b,Monitor privileged role or attribute assignments;
AC-2.7(c) Privileged User Accounts,ac-2.7_smt.c,ac-2.7,ac-2.7_smt.c,Monitor changes to roles or attributes; and
AC-2.7(d) Privileged User Accounts,ac-2.7_smt.d,ac-2.7,ac-2.7_smt.d,Revoke access when privileged role or attribute assignments are no longer appropriate.
AC-2.9 Restrictions on Use of Shared and Group Accounts,ac-2.9,ac-2.9,,Only permit the use of shared and group accounts that meet [conditions]. Requirement: Required if shared/group accounts are deployed.
AC-2.12(a) Account Monitoring for Atypical Usage,ac-2.12_smt.a,ac-2.12,ac-2.12_smt.a,Monitor system accounts for [atypical usage] ; and
AC-2.12(b) Account Monitoring for Atypical Usage,ac-2.12_smt.b,ac-2.12,ac-2.12_smt.b,Report atypical usage of system accounts to [personnel or roles].
AC-2.13 Disable Accounts for High-risk Individuals,ac-2.13,ac-2.13,,Disable accounts of individuals within [time period] of discovery of [significant risks].
AC-3 Access Enforcement,ac-3,ac-3,,Enforce approved authorizations for logical access to information and system resources in accordance with applicable access control policies.
AC-4 Information Flow Enforcement,ac-4,ac-4,,Enforce approved authorizations for controlling the flow of information within the system and between connected systems based on [information flow control policies].
AC-4.21 Physical or Logical Separation of Information Flows,ac-4.21,ac-4.21,,Separate information flows logically or physically using [organization-defined mechanisms and/or techniques] to accomplish [required separations].
AC-5(a) Separation of Duties,ac-5_smt.a,ac-5,ac-5_smt.a,Identify and document [duties of individuals] ; and
AC-5(b) Separation of Duties,ac-5_smt.b,ac-5,ac-5_smt.b,Define system access authorizations to support separation of duties.
AC-6 Least Privilege,ac-6,ac-6,,"Employ the principle of least privilege, allowing only authorized accesses for users (or processes acting on behalf of users) that are necessary to accomplish assigned organizational tasks."
AC-6.1(a) Authorize Access to Security Functions,ac-6.1_smt.a,ac-6.1,ac-6.1_smt.a,"[organization-defined security functions (deployed in hardware, software, and firmware)] ; and"
AC-6.1(b) Authorize Access to Security Functions,ac-6.1_smt.b,ac-6.1,ac-6.1_smt.b,[security-relevant information].
AC-6.2 Non-privileged Access for Nonsecurity Functions,ac-6.2,ac-6.2,,"Require that users of system accounts (or roles) with access to [security functions or security-relevant information] use non-privileged accounts or roles, when accessing nonsecurity functions."
AC-6.5 Privileged Accounts,ac-6.5,ac-6.5,,Restrict privileged accounts on the system to [personnel or roles].
AC-6.7(a) Review of User Privileges,ac-6.7_smt.a,ac-6.7,ac-6.7_smt.a,Review [frequency] the privileges assigned to [roles and classes] to validate the need for such privileges; and
AC-6.7(b) Review of User Privileges,ac-6.7_smt.b,ac-6.7,ac-6.7_smt.b,"Reassign or remove privileges, if necessary, to correctly reflect organizational mission and business needs."
AC-6.9 Log Use of Privileged Functions,ac-6.9,ac-6.9,,Log the execution of privileged functions.
AC-6.10 Prohibit Non-privileged Users from Executing Privileged Functions,ac-6.10,ac-6.10,,Prevent non-privileged users from executing privileged functions.
AC-7(a) Unsuccessful Logon Attempts,ac-7_smt.a,ac-7,ac-7_smt.a,Enforce a limit of [number] consecutive invalid logon attempts by a user during a [time period] ; and
AC-7(b) Unsuccessful Logon Attempts,ac-7_smt.b,ac-7,ac-7_smt.b,Automatically [lock the account or node for | lock the account or node until released by an administrator | delay next logon prompt per | notify system administrator | take other ] when the maximum number of unsuccessful attempts is exceeded.
AC-8(a) System Use Notification,ac-8_smt.a,ac-8,ac-8_smt.a,"Display [system use notification] to users before granting access to the system that provides privacy and security notices consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines and state that: 1. Users are accessing a U.S. Government system; 2. System usage may be monitored, recorded, and subject to audit; 3. Unauthorized use of the system is prohibited and subject to criminal and civil penalties; and 4. Use of the system indicates consent to monitoring and recording;"
AC-8(b) System Use Notification,ac-8_smt.b,ac-8,ac-8_smt.b,Retain the notification message or banner on the screen until users acknowledge the usage conditions and take explicit actions to log on to or further access the system; and
AC-8(c) System Use Notification,ac-8_smt.c,ac-8,ac-8_smt.c,"For publicly accessible systems: 1. Display system use information [conditions] , before granting further access to the publicly accessible system; 2. Display references, if any, to monitoring, recording, or auditing that are consistent with privacy accommodations for such systems that generally prohibit those activities; and 3. Include a description of the authorized uses of the system."
AC-11(a) Device Lock,ac-11_smt.a,ac-11,ac-11_smt.a,Prevent further access to the system by [initiating a device lock after | requiring the user to initiate a device lock before leaving the system unattended] ; and
AC-11(b) Device Lock,ac-11_smt.b,ac-11,ac-11_smt.b,Retain the device lock until the user reestablishes access using established identification and authentication procedures.
AC-11.1 Pattern-hiding Displays,ac-11.1,ac-11.1,,"Conceal, via the device lock, information previously visible on the display with a publicly viewable image."
AC-12 Session Termination,ac-12,ac-12,,Automatically terminate a user session after [conditions or trigger events].
AC-14(a) Permitted Actions Without Identification or Authentication,ac-14_smt.a,ac-14,ac-14_smt.a,Identify [user actions] that can be performed on the system without identification or authentication consistent with organizational mission and business functions; and
AC-14(b) Permitted Actions Without Identification or Authentication,ac-14_smt.b,ac-14,ac-14_smt.b,"Document and provide supporting rationale in the security plan for the system, user actions not requiring identification or authentication."
AC-17(a) Remote Access,ac-17_smt.a,ac-17,ac-17_smt.a,"Establish and document usage restrictions, configuration/connection requirements, and implementation guidance for each type of remote access allowed; and"
AC-17(b) Remote Access,ac-17_smt.b,ac-17,ac-17_smt.b,Authorize each type of remote access to the system prior to allowing such connections.
AC-17.1 Monitoring and Control,ac-17.1,ac-17.1,,Employ automated mechanisms to monitor and control remote access methods.
AC-17.2 Protection of Confidentiality and Integrity Using Encryption,ac-17.2,ac-17.2,,Implement cryptographic mechanisms to protect the confidentiality and integrity of remote access sessions.
AC-17.3 Managed Access Control Points,ac-17.3,ac-17.3,,Route remote accesses through authorized and managed network access control points.
AC-17.4(a) Privileged Commands and Access,ac-17.4_smt.a,ac-17.4,ac-17.4_smt.a,Authorize the execution of privileged commands and access to security-relevant information via remote access only in a format that provides assessable evidence and for the following needs: [organization-defined needs] ; and
AC-17.4(b) Privileged Commands and Access,ac-17.4_smt.b,ac-17.4,ac-17.4_smt.b,Document the rationale for remote access in the security plan for the system.
AC-18(a) Wireless Access,ac-18_smt.a,ac-18,ac-18_smt.a,"Establish configuration requirements, connection requirements, and implementation guidance for each type of wireless access; and"
AC-18(b) Wireless Access,ac-18_smt.b,ac-18,ac-18_smt.b,Authorize each type of wireless access to the system prior to allowing such connections.
AC-18.1 Authentication and Encryption,ac-18.1,ac-18.1,,Protect wireless access to the system using authentication of [users | devices] and encryption.
AC-18.3 Disable Wireless Networking,ac-18.3,ac-18.3,,"Disable, when not intended for use, wireless networking capabilities embedded within system components prior to issuance and deployment."
AC-19(a) Access Control for Mobile Devices,ac-19_smt.a,ac-19,ac-19_smt.a,"Establish configuration requirements, connection requirements, and implementation guidance for organization-controlled mobile devices, to include when such devices are outside of controlled areas; and"
AC-19(b) Access Control for Mobile Devices,ac-19_smt.b,ac-19,ac-19_smt.b,Authorize the connection of mobile devices to organizational systems.
AC-19.5 Full Device or Container-based Encryption,ac-19.5,ac-19.5,,Employ [full-device encryption | container-based encryption] to protect the confidentiality and integrity of information on [mobile devices].
AC-20(a) Use of External Systems,ac-20_smt.a,ac-20,ac-20_smt.a,"[establish | identify ] , consistent with the trust relationships established with other organizations owning, operating, and/or maintaining external systems, allowing authorized individuals to: 1. Access the system from external systems; and 2. Process, store, or transmit organization-controlled information using external systems; or"
AC-20(b) Use of External Systems,ac-20_smt.b,ac-20,ac-20_smt.b,Prohibit the use of [prohibited types of external systems].
AC-20.1(a) Limits on Authorized Use,ac-20.1_smt.a,ac-20.1,ac-20.1_smt.a,Verification of the implementation of controls on the external system as specified in the organization’s security and privacy policies and security and privacy plans; or
AC-20.1(b) Limits on Authorized Use,ac-20.1_smt.b,ac-20.1,ac-20.1_smt.b,Retention of approved system connection or processing agreements with the organizational entity hosting the external system.
AC-20.2 Portable Storage Devices — Restricted Use,ac-20.2,ac-20.2,,Restrict the use of organization-controlled portable storage devices by authorized individuals on external systems using [restrictions].
AC-21(a) Information Sharing,ac-21_smt.a,ac-21,ac-21_smt.a,Enable authorized users to determine whether access authorizations assigned to a sharing partner match the information’s access and use restrictions for [information-sharing circumstances] ; and
AC-21(b) Information Sharing,ac-21_smt.b,ac-21,ac-21_smt.b,Employ [automated mechanisms] to assist users in making information sharing and collaboration decisions.
AC-22(a) Publicly Accessible Content,ac-22_smt.a,ac-22,ac-22_smt.a,Designate individuals authorized to make information publicly accessible;
AC-22(b) Publicly Accessible Content,ac-22_smt.b,ac-22,ac-22_smt.b,Train authorized individuals to ensure that publicly accessible information does not contain nonpublic information;
AC-22(c) Publicly Accessible Content,ac-22_smt.c,ac-22,ac-22_smt.c,Review the proposed content of information prior to posting onto the publicly accessible system to ensure that nonpublic information is not included; and
AC-22(d) Publicly Accessible Content,ac-22_smt.d,ac-22,ac-22_smt.d,"Review the content on the publicly accessible system for nonpublic information [frequency] and remove such information, if discovered."
AT-1(a) Policy and Procedures,at-1_smt.a,at-1,at-1_smt.a,"Develop, document, and disseminate to [organization-defined personnel or roles]: 1. [organization-level | mission/business process-level | system-level] awareness and training policy that: (a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and (b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and 2. Procedures to facilitate the implementation of the awareness and training policy and the associated awareness and training controls;"
AT-1(b) Policy and Procedures,at-1_smt.b,at-1,at-1_smt.b,"Designate an [official] to manage the development, documentation, and dissemination of the awareness and training policy and procedures; and"
AT-1(c) Policy and Procedures,at-1_smt.c,at-1,at-1_smt.c,Review and update the current awareness and training: 1. Policy [frequency] and following [events] ; and 2. Procedures [frequency] and following [events].
AT-2(a) Literacy Training and Awareness,at-2_smt.a,at-2,at-2_smt.a,"Provide security and privacy literacy training to system users (including managers, senior executives, and contractors): 1. As part of initial training for new users and [organization-defined frequency] thereafter; and 2. When required by system changes or following [organization-defined events];"
AT-2(b) Literacy Training and Awareness,at-2_smt.b,at-2,at-2_smt.b,Employ the following techniques to increase the security and privacy awareness of system users [awareness techniques];
AT-2(c) Literacy Training and Awareness,at-2_smt.c,at-2,at-2_smt.c,Update literacy training and awareness content [frequency] and following [events] ; and
AT-2(d) Literacy Training and Awareness,at-2_smt.d,at-2,at-2_smt.d,Incorporate lessons learned from internal or external security incidents or breaches into literacy training and awareness techniques.
AT-2.2 Insider Threat,at-2.2,at-2.2,,Provide literacy training on recognizing and reporting potential indicators of insider threat.
AT-2.3 Social Engineering and Mining,at-2.3,at-2.3,,Provide literacy training on recognizing and reporting potential and actual instances of social engineering and social mining.
AT-3(a) Role-based Training,at-3_smt.a,at-3,at-3_smt.a,"Provide role-based security and privacy training to personnel with the following roles and responsibilities: [organization-defined roles and responsibilities]: 1. Before authorizing access to the system, information, or performing assigned duties, and [frequency] thereafter; and 2. When required by system changes;"
AT-3(b) Role-based Training,at-3_smt.b,at-3,at-3_smt.b,Update role-based training content [frequency] and following [events] ; and
AT-3(c) Role-based Training,at-3_smt.c,at-3,at-3_smt.c,Incorporate lessons learned from internal or external security incidents or breaches into role-based training.
AT-4(a) Training Records,at-4_smt.a,at-4,at-4_smt.a,"Document and monitor information security and privacy training activities, including security and privacy awareness training and specific role-based security and privacy training; and"
AT-4(b) Training Records,at-4_smt.b,at-4,at-4_smt.b,Retain individual training records for [time period].
AU-1(a) Policy and Procedures,au-1_smt.a,au-1,au-1_smt.a,"Develop, document, and disseminate to [organization-defined personnel or roles]: 1. [organization-level | mission/business process-level | system-level] audit and accountability policy that: (a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and (b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and 2. Procedures to facilitate the implementation of the audit and accountability policy and the associated audit and accountability controls;"
AU-1(b) Policy and Procedures,au-1_smt.b,au-1,au-1_smt.b,"Designate an [official] to manage the development, documentation, and dissemination of the audit and accountability policy and procedures; and"
AU-1(c) Policy and Procedures,au-1_smt.c,au-1,au-1_smt.c,Review and update the current audit and accountability: 1. Policy [frequency] and following [events] ; and 2. Procedures [frequency] and following [events].
AU-2(a) Event Logging,au-2_smt.a,au-2,au-2_smt.a,Identify the types of events that the system is capable of logging in support of the audit function: [event types];
AU-2(b) Event Logging,au-2_smt.b,au-2,au-2_smt.b,Coordinate the event logging function with other organizational entities requiring audit-related information to guide and inform the selection criteria for events to be logged;
AU-2(c) Event Logging,au-2_smt.c,au-2,au-2_smt.c,Specify the following event types for logging within the system: [organization-defined event types (subset of the event types defined in ];
AU-2(d) Event Logging,au-2_smt.d,au-2,au-2_smt.d,Provide a rationale for why the event types selected for logging are deemed to be adequate to support after-the-fact investigations of incidents; and
AU-2(e) Event Logging,au-2_smt.e,au-2,au-2_smt.e,Review and update the event types selected for logging [frequency].
AU-3(a) Content of Audit Records,au-3_smt.a,au-3,au-3_smt.a,What type of event occurred;
AU-3(b) Content of Audit Records,au-3_smt.b,au-3,au-3_smt.b,When the event occurred;
AU-3(c) Content of Audit Records,au-3_smt.c,au-3,au-3_smt.c,Where the event occurred;
AU-3(d) Content of Audit Records,au-3_smt.d,au-3,au-3_smt.d,Source of the event;
AU-3(e) Content of Audit Records,au-3_smt.e,au-3,au-3_smt.e,Outcome of the event; and
AU-3(f) Content of Audit Records,au-3_smt.f,au-3,au-3_smt.f,"Identity of any individuals, subjects, or objects/entities associated with the event."
AU-3.1 Additional Audit Information,au-3.1,au-3.1,,Generate audit records containing the following additional information: [additional information].
AU-4 Audit Log Storage Capacity,au-4,au-4,,Allocate audit log storage capacity to accommodate [audit log retention requirements].
AU-5(a) Response to Audit Logging Process Failures,au-5_smt.a,au-5,au-5_smt.a,Alert [personnel or roles] within [time period] in the event of an audit logging process failure; and
AU-5(b) Response to Audit Logging Process Failures,au-5_smt.b,au-5,au-5_smt.b,Take the following additional actions: [additional actions].
"AU-6(a) Audit Record Review, Analysis, and Reporting",au-6_smt.a,au-6,au-6_smt.a,Review and analyze system audit records [frequency] for indications of [inappropriate or unusual activity] and the potential impact of the inappropriate or unusual activity;
"AU-6(b) Audit Record Review, Analysis, and Reporting",au-6_smt.b,au-6,au-6_smt.b,Report findings to [personnel or roles] ; and
"AU-6(c) Audit Record Review, Analysis, and Reporting",au-6_smt.c,au-6,au-6_smt.c,"Adjust the level of audit record review, analysis, and reporting within the system when there is a change in risk based on law enforcement information, intelligence information, or other credible sources of information."
AU-6.1 Automated Process Integration,au-6.1,au-6.1,,"Integrate audit record review, analysis, and reporting processes using [automated mechanisms]."
AU-6.3 Correlate Audit Record Repositories,au-6.3,au-6.3,,Analyze and correlate audit records across different repositories to gain organization-wide situational awareness.
AU-7(a) Audit Record Reduction and Report Generation,au-7_smt.a,au-7,au-7_smt.a,"Supports on-demand audit record review, analysis, and reporting requirements and after-the-fact investigations of incidents; and"
AU-7(b) Audit Record Reduction and Report Generation,au-7_smt.b,au-7,au-7_smt.b,Does not alter the original content or time ordering of audit records.
AU-7.1 Automatic Processing,au-7.1,au-7.1,,"Provide and implement the capability to process, sort, and search audit records for events of interest based on the following content: [fields within audit records]."
AU-8(a) Time Stamps,au-8_smt.a,au-8,au-8_smt.a,Use internal system clocks to generate time stamps for audit records; and
AU-8(b) Time Stamps,au-8_smt.b,au-8,au-8_smt.b,"Record time stamps for audit records that meet [granularity of time measurement] and that use Coordinated Universal Time, have a fixed local time offset from Coordinated Universal Time, or that include the local time offset as part of the time stamp."
AU-9(a) Protection of Audit Information,au-9_smt.a,au-9,au-9_smt.a,"Protect audit information and audit logging tools from unauthorized access, modification, and deletion; and"
AU-9(b) Protection of Audit Information,au-9_smt.b,au-9,au-9_smt.b,"Alert [personnel or roles] upon detection of unauthorized access, modification, or deletion of audit information."
AU-9.4 Access by Subset of Privileged Users,au-9.4,au-9.4,,Authorize access to management of audit logging functionality to only [subset of privileged users or roles].
AU-11 Audit Record Retention,au-11,au-11,,Retain audit records for [time period] to provide support for after-the-fact investigations of incidents and to meet regulatory and organizational information retention requirements. Requirement: The service provider retains audit records on-line for at least ninety days and further preserves audit records off-line for a period that is in accordance with NARA requirements. Requirement: The service provider must support Agency requirements to comply with M-21-31 (https://www.whitehouse.gov/wp-content/uploads/2021/08/M-21-31-Improving-the-Federal-Governments-Investigative-and-Remediation-Capabilities-Related-to-Cybersecurity-Incidents.pdf)
AU-12(a) Audit Record Generation,au-12_smt.a,au-12,au-12_smt.a,Provide audit record generation capability for the event types the system is capable of auditing as defined in AU-2a on [system components];
AU-12(b) Audit Record Generation,au-12_smt.b,au-12,au-12_smt.b,Allow [personnel or roles] to select the event types that are to be logged by specific components of the system; and
AU-12(c) Audit Record Generation,au-12_smt.c,au-12,au-12_smt.c,Generate audit records for the event types defined in AU-2c that include the audit record content defined in AU-3.
CA-1(a) Policy and Procedures,ca-1_smt.a,ca-1,ca-1_smt.a,"Develop, document, and disseminate to [organization-defined personnel or roles]: 1. [organization-level | mission/business process-level | system-level] assessment, authorization, and monitoring policy that: (a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and (b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and 2. Procedures to facilitate the implementation of the assessment, authorization, and monitoring policy and the associated assessment, authorization, and monitoring controls;"
CA-1(b) Policy and Procedures,ca-1_smt.b,ca-1,ca-1_smt.b,"Designate an [official] to manage the development, documentation, and dissemination of the assessment, authorization, and monitoring policy and procedures; and"
CA-1(c) Policy and Procedures,ca-1_smt.c,ca-1,ca-1_smt.c,"Review and update the current assessment, authorization, and monitoring: 1. Policy [frequency] and following [events] ; and 2. Procedures [frequency] and following [events]."
CA-2(a) Control Assessments,ca-2_smt.a,ca-2,ca-2_smt.a,Select the appropriate assessor or assessment team for the type of assessment to be conducted;
CA-2(b) Control Assessments,ca-2_smt.b,ca-2,ca-2_smt.b,"Develop a control assessment plan that describes the scope of the assessment including: 1. Controls and control enhancements under assessment; 2. Assessment procedures to be used to determine control effectiveness; and 3. Assessment environment, assessment team, and assessment roles and responsibilities;"
CA-2(c) Control Assessments,ca-2_smt.c,ca-2,ca-2_smt.c,Ensure the control assessment plan is reviewed and approved by the authorizing official or designated representative prior to conducting the assessment;
CA-2(d) Control Assessments,ca-2_smt.d,ca-2,ca-2_smt.d,"Assess the controls in the system and its environment of operation [assessment frequency] to determine the extent to which the controls are implemented correctly, operating as intended, and producing the desired outcome with respect to meeting established security and privacy requirements;"
CA-2(e) Control Assessments,ca-2_smt.e,ca-2,ca-2_smt.e,Produce a control assessment report that document the results of the assessment; and
CA-2(f) Control Assessments,ca-2_smt.f,ca-2,ca-2_smt.f,Provide the results of the control assessment to [individuals or roles].
CA-2.1 Independent Assessors,ca-2.1,ca-2.1,,"Employ independent assessors or assessment teams to conduct control assessments. Requirement: For JAB Authorization, must use an accredited 3PAO."
CA-2.3 Leveraging Results from External Organizations,ca-2.3,ca-2.3,,Leverage the results of control assessments performed by [external organization(s)] on [system] when the assessment meets [requirements].
CA-3(a) Information Exchange,ca-3_smt.a,ca-3,ca-3_smt.a,Approve and manage the exchange of information between the system and other systems using [interconnection security agreements | information exchange security agreements | memoranda of understanding or agreement | service level agreements | user agreements | non-disclosure agreements | ];
CA-3(b) Information Exchange,ca-3_smt.b,ca-3,ca-3_smt.b,"Document, as part of each exchange agreement, the interface characteristics, security and privacy requirements, controls, and responsibilities for each system, and the impact level of the information communicated; and"
CA-3(c) Information Exchange,ca-3_smt.c,ca-3,ca-3_smt.c,Review and update the agreements [frequency].
CA-5(a) Plan of Action and Milestones,ca-5_smt.a,ca-5,ca-5_smt.a,Develop a plan of action and milestones for the system to document the planned remediation actions of the organization to correct weaknesses or deficiencies noted during the assessment of the controls and to reduce or eliminate known vulnerabilities in the system; and
CA-5(b) Plan of Action and Milestones,ca-5_smt.b,ca-5,ca-5_smt.b,"Update existing plan of action and milestones [frequency] based on the findings from control assessments, independent audits or reviews, and continuous monitoring activities."
CA-6(a) Authorization,ca-6_smt.a,ca-6,ca-6_smt.a,Assign a senior official as the authorizing official for the system;
CA-6(b) Authorization,ca-6_smt.b,ca-6,ca-6_smt.b,Assign a senior official as the authorizing official for common controls available for inheritance by organizational systems;
CA-6(c) Authorization,ca-6_smt.c,ca-6,ca-6_smt.c,"Ensure that the authorizing official for the system, before commencing operations: 1. Accepts the use of common controls inherited by the system; and 2. Authorizes the system to operate;"
CA-6(d) Authorization,ca-6_smt.d,ca-6,ca-6_smt.d,Ensure that the authorizing official for common controls authorizes the use of those controls for inheritance by organizational systems;
CA-6(e) Authorization,ca-6_smt.e,ca-6,ca-6_smt.e,Update the authorizations [frequency].
CA-7(a) Continuous Monitoring,ca-7_smt.a,ca-7,ca-7_smt.a,Establishing the following system-level metrics to be monitored: [system-level metrics];
CA-7(b) Continuous Monitoring,ca-7_smt.b,ca-7,ca-7_smt.b,Establishing [frequencies] for monitoring and [frequencies] for assessment of control effectiveness;
CA-7(c) Continuous Monitoring,ca-7_smt.c,ca-7,ca-7_smt.c,Ongoing control assessments in accordance with the continuous monitoring strategy;
CA-7(d) Continuous Monitoring,ca-7_smt.d,ca-7,ca-7_smt.d,Ongoing monitoring of system and organization-defined metrics in accordance with the continuous monitoring strategy;
CA-7(e) Continuous Monitoring,ca-7_smt.e,ca-7,ca-7_smt.e,Correlation and analysis of information generated by control assessments and monitoring;
CA-7(f) Continuous Monitoring,ca-7_smt.f,ca-7,ca-7_smt.f,Response actions to address results of the analysis of control assessment and monitoring information; and
CA-7(g) Continuous Monitoring,ca-7_smt.g,ca-7,ca-7_smt.g,Reporting the security and privacy status of the system to [organization-defined personnel or roles] [organization-defined frequency].
CA-7.1 Independent Assessment,ca-7.1,ca-7.1,,Employ independent assessors or assessment teams to monitor the controls in the system on an ongoing basis.
CA-7.4(a) Risk Monitoring,ca-7.4_smt.a,ca-7.4,ca-7.4_smt.a,Effectiveness monitoring;
CA-7.4(b) Risk Monitoring,ca-7.4_smt.b,ca-7.4,ca-7.4_smt.b,Compliance monitoring; and
CA-7.4(c) Risk Monitoring,ca-7.4_smt.c,ca-7.4,ca-7.4_smt.c,Change monitoring.
CA-8 Penetration Testing,ca-8,ca-8,,Conduct penetration testing [frequency] on [system(s) or system components].
CA-8.1 Independent Penetration Testing Agent or Team,ca-8.1,ca-8.1,,Employ an independent penetration testing agent or team to perform penetration testing on the system or system components.
CA-8.2 Red Team Exercises,ca-8.2,ca-8.2,,Employ the following red-team exercises to simulate attempts by adversaries to compromise organizational systems in accordance with applicable rules of engagement: [red team exercises].
CA-9(a) Internal System Connections,ca-9_smt.a,ca-9,ca-9_smt.a,Authorize internal connections of [system components] to the system;
CA-9(b) Internal System Connections,ca-9_smt.b,ca-9,ca-9_smt.b,"Document, for each internal connection, the interface characteristics, security and privacy requirements, and the nature of the information communicated;"
CA-9(c) Internal System Connections,ca-9_smt.c,ca-9,ca-9_smt.c,Terminate internal system connections after [conditions] ; and
CA-9(d) Internal System Connections,ca-9_smt.d,ca-9,ca-9_smt.d,Review [frequency] the continued need for each internal connection.
CM-1(a) Policy and Procedures,cm-1_smt.a,cm-1,cm-1_smt.a,"Develop, document, and disseminate to [organization-defined personnel or roles]: 1. [organization-level | mission/business process-level | system-level] configuration management policy that: (a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and (b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and 2. Procedures to facilitate the implementation of the configuration management policy and the associated configuration management controls;"
CM-1(b) Policy and Procedures,cm-1_smt.b,cm-1,cm-1_smt.b,"Designate an [official] to manage the development, documentation, and dissemination of the configuration management policy and procedures; and"
CM-1(c) Policy and Procedures,cm-1_smt.c,cm-1,cm-1_smt.c,Review and update the current configuration management: 1. Policy [frequency] and following [events] ; and 2. Procedures [frequency] and following [events].
CM-2(a) Baseline Configuration,cm-2_smt.a,cm-2,cm-2_smt.a,"Develop, document, and maintain under configuration control, a current baseline configuration of the system; and"
